Country,Year,Life expectancy
Afghanistan,1800,28.2
Afghanistan,1900,29.4
Afghanistan,2000,54.6
Afghanistan,2100,77.7
Albania,1800,35.4
Albania,1900,35.4
Albania,2000,74.9
Albania,2100,88.3
Algeria,1800,28.8
Algeria,1900,30.2
Algeria,2000,74
Algeria,2100,89.2
Andorra,1800,NA
Andorra,1900,NA
Andorra,2000,81.2
Andorra,2100,NA
Angola,1800,27
Angola,1900,29
Angola,2000,51.7
Angola,2100,79.9
Antigua and Barbuda,1800,33.5
Antigua and Barbuda,1900,33.8
Antigua and Barbuda,2000,74.7
Antigua and Barbuda,2100,87
Argentina,1800,33.2
Argentina,1900,36.6
Argentina,2000,74.2
Argentina,2100,87.6
Armenia,1800,34
Armenia,1900,35.1
Armenia,2000,72.3
Armenia,2100,86.4
Australia,1800,34
Australia,1900,50
Australia,2000,79.5
Australia,2100,92
Austria,1800,34.4
Austria,1900,41.6
Austria,2000,78.3
Austria,2100,91.8
Azerbaijan,1800,29.2
Azerbaijan,1900,30.7
Azerbaijan,2000,66.8
Azerbaijan,2100,80.9
Bahamas,1800,35.2
Bahamas,1900,35.1
Bahamas,2000,71.5
Bahamas,2100,84
Bahrain,1800,30.3
Bahrain,1900,30.6
Bahrain,2000,72.6
Bahrain,2100,89.4
Bangladesh,1800,25.5
Bangladesh,1900,21.3
Bangladesh,2000,65.5
Bangladesh,2100,87.6
Barbados,1800,32.1
Barbados,1900,32.8
Barbados,2000,74.8
Barbados,2100,86.7
Belarus,1800,36.2
Belarus,1900,36.1
Belarus,2000,68.8
Belarus,2100,84.8
Belgium,1800,40
Belgium,1900,46.6
Belgium,2000,77.8
Belgium,2100,91.4
Belize,1800,26.5
Belize,1900,26.6
Belize,2000,70.3
Belize,2100,85.4
Benin,1800,31
Benin,1900,32
Benin,2000,57.5
Benin,2100,78.8
Bhutan,1800,28.8
Bhutan,1900,31.6
Bhutan,2000,65.7
Bhutan,2100,88.1
Bolivia,1800,33
Bolivia,1900,33.9
Bolivia,2000,66.5
Bolivia,2100,86.6
Bosnia and Herzegovina,1800,35.1
Bosnia and Herzegovina,1900,35.4
Bosnia and Herzegovina,2000,75.3
Bosnia and Herzegovina,2100,87.4
Botswana,1800,33.6
Botswana,1900,33.8
Botswana,2000,54
Botswana,2100,80.3
Brazil,1800,32
Brazil,1900,32.3
Brazil,2000,71.4
Brazil,2100,88
Brunei,1800,29.2
Brunei,1900,28.6
Brunei,2000,73.8
Brunei,2100,85.7
Bulgaria,1800,35.8
Bulgaria,1900,40.2
Bulgaria,2000,71.6
Bulgaria,2100,85.3
Burkina Faso,1800,29.2
Burkina Faso,1900,30.4
Burkina Faso,2000,52.4
Burkina Faso,2100,78.4
Burundi,1800,31.5
Burundi,1900,31.8
Burundi,2000,44.9
Burundi,2100,78.1
Cambodia,1800,35
Cambodia,1900,35.8
Cambodia,2000,60.2
Cambodia,2100,82.6
Cameroon,1800,28.8
Cameroon,1900,29.7
Cameroon,2000,54.8
Cameroon,2100,79.5
Canada,1800,39
Canada,1900,48.3
Canada,2000,79.2
Canada,2100,91.6
Cape Verde,1800,33.8
Cape Verde,1900,35.2
Cape Verde,2000,71.2
Cape Verde,2100,88.9
Central African Republic,1800,30
Central African Republic,1900,31.1
Central African Republic,2000,44.3
Central African Republic,2100,68.1
Chad,1800,30.9
Chad,1900,32.7
Chad,2000,52.1
Chad,2100,77.9
Chile,1800,32
Chile,1900,32.2
Chile,2000,76.9
Chile,2100,90.5
China,1800,32
China,1900,32
China,2000,72.1
China,2100,88.6
Colombia,1800,32
Colombia,1900,32.8
Colombia,2000,74.1
Colombia,2100,92
Comoros,1800,32.1
Comoros,1900,32.7
Comoros,2000,61.6
Comoros,2100,80.7
"Congo, Dem. Rep.",1800,31.6
"Congo, Dem. Rep.",1900,33
"Congo, Dem. Rep.",2000,53.8
"Congo, Dem. Rep.",2100,76.7
"Congo, Rep.",1800,32.7
"Congo, Rep.",1900,31.8
"Congo, Rep.",2000,52.8
"Congo, Rep.",2100,73.9
Costa Rica,1800,30.2
Costa Rica,1900,35
Costa Rica,2000,77.9
Costa Rica,2100,90.2
Cote d'Ivoire,1800,31.2
Cote d'Ivoire,1900,32.7
Cote d'Ivoire,2000,52.3
Cote d'Ivoire,2100,77.1
Croatia,1800,36.1
Croatia,1900,36.1
Croatia,2000,74.5
Croatia,2100,89.3
Cuba,1800,32.2
Cuba,1900,33.4
Cuba,2000,76.8
Cuba,2100,88.6
Cyprus,1800,38.5
Cyprus,1900,41.5
Cyprus,2000,76.8
Cyprus,2100,91.8
Czech Republic,1800,35
Czech Republic,1900,40.2
Czech Republic,2000,75
Czech Republic,2100,89.3
Denmark,1800,37.4
Denmark,1900,51.9
Denmark,2000,77
Denmark,2100,90.6
Djibouti,1800,29.9
Djibouti,1900,31.6
Djibouti,2000,60.5
Djibouti,2100,82.3
Dominica,1800,NA
Dominica,1900,NA
Dominica,2000,73.7
Dominica,2100,NA
Dominican Republic,1800,29.9
Dominican Republic,1900,31.1
Dominican Republic,2000,73.9
Dominican Republic,2100,85.1
Ecuador,1800,32.9
Ecuador,1900,33.9
Ecuador,2000,74.2
Ecuador,2100,88.9
Egypt,1800,33
Egypt,1900,32.7
Egypt,2000,68.7
Egypt,2100,82.3
El Salvador,1800,28.7
El Salvador,1900,29.2
El Salvador,2000,72.4
El Salvador,2100,87.4
Equatorial Guinea,1800,29.8
Equatorial Guinea,1900,30.8
Equatorial Guinea,2000,55.6
Equatorial Guinea,2100,81.8
Eritrea,1800,30.2
Eritrea,1900,30.7
Eritrea,2000,53.3
Eritrea,2100,77.6
Estonia,1800,36.1
Estonia,1900,43.1
Estonia,2000,71
Estonia,2100,88.2
Ethiopia,1800,29.7
Ethiopia,1900,29.7
Ethiopia,2000,50.8
Ethiopia,2100,85.1
Fiji,1800,26.1
Fiji,1900,27
Fiji,2000,65.9
Fiji,2100,79
Finland,1800,36.6
Finland,1900,41.8
Finland,2000,77.8
Finland,2100,91.3
France,1800,34
France,1900,45.1
France,2000,79.1
France,2100,92.5
Gabon,1800,30.6
Gabon,1900,31.8
Gabon,2000,59.3
Gabon,2100,80.3
Gambia,1800,28.8
Gambia,1900,32.4
Gambia,2000,61.7
Gambia,2100,80.6
Georgia,1800,31.9
Georgia,1900,33.4
Georgia,2000,73.1
Georgia,2100,84.1
Germany,1800,38.4
